Year,GBR,NLD,FRA,BEL,SWE,DEU,ESP,PRT,POL,ITA,CHN,IND,JPN
1830,3550.0,3038.0,1898.150727629452,2489.5384615384614,1468.0,2044.5804429799675,1662.3563829071156,1721.0172629649999,942.0,2513.0331979102248,846.0,944.2,1362.6807692307693
1831,3545.0,3264.0,1924.7241584020235,2502.6923076923076,1497.0,2029.0861949790924,1655.425884576677,1602.960785335,929.0,2510.9133892236705,846.3,945.0,1367.2488461538462
1832,3612.0,3417.0,2091.720477664846,2515.846153846154,1457.0,2073.243089853202,1551.8247673145231,1525.343423331,923.0,2506.673771850562,846.6,944.9,1371.816923076923
1833,3599.0,3341.0,2052.4140419376195,2529.0,1503.0,2142.034962533275,1589.8493780204574,1420.9199322727502,920.0,2513.033197910225,846.9,944.8,1376.385
1834,3639.0,3370.0,2055.49497574838,2542.153846153846,1522.0,2168.900627115677,1564.5525291611057,1465.94411115425,923.0,2520.4525283131657,847.2,944.7,1380.9530769230769
1835,3861.0,3360.0,2124.277698200296,2555.3076923076924,1517.0,2170.50019501018,1573.8107997470327,1444.28261880175,915.0,2531.0515717459375,847.5,944.6,1385.5211538461538
1836,3937.0,3472.0,2089.476181391859,2568.4615384615386,1565.0,2173.381763158627,1537.6418337887014,1431.16937183675,912.0,2524.6921456862747,847.8,944.5,1390.0892307692307
1837,3857.0,3553.0,2118.7672054460413,2581.6153846153848,1554.0,2169.2284743126797,1549.6858376207922,1572.948715702,923.0,2525.752050029552,848.1,944.4,1394.6573076923078
1838,3963.0,3590.0,2210.6440063241553,2594.769230769231,1529.0,2116.1454960967108,1535.7496460570717,1589.9185780432501,921.0,2514.093102253503,848.4,944.3,1399.2253846153847
1839,3881.0,3588.0,2128.782413185134,2607.923076923077,1546.0,2119.0685668591445,1575.3464323318278,1628.5508621200001,913.0,2511.9732935669485,848.7,944.2,1403.7934615384615
1840,4018.0,3623.0,2275.752370929545,2621.076923076923,1568.0,2163.846067239809,1656.2968016065238,1502.783535799,907.0,2513.0331979102257,849.0,944.1,1408.3615384615384
1841,3894.0,3658.0,2320.7622888219616,2634.230769230769,1549.0,2230.648490370499,1659.37859170665,1474.49870456525,921.0,2514.093102253503,849.9,944.0,1412.9296153846153
1842,3808.0,3569.0,2259.9558002859453,2647.3846153846152,1476.0,2192.6576886385583,1605.1042365201079,1518.9521755590001,917.0,2506.6737718505624,850.8,944.3333333333334,1417.4976923076922
1843,3950.0,3507.0,2369.6715631170723,2660.5384615384614,1508.0,2102.563955687509,1604.589926663245,1537.7979092612502,913.0,2507.7336761938395,851.7,944.6666666666666,1422.0657692307693
1844,4245.0,3540.0,2444.2429270081725,2673.6923076923076,1573.0,2139.2788119154698,1556.114732976872,1636.23739461,915.0,2540.5907108354327,852.6,945.0,1426.6338461538462
1845,4387.0,3515.0,2358.924444045439,2686.846153846154,1610.0,2158.173960846913,1628.6226088168066,1633.9173163950002,932.0,2542.7105195219874,853.5,945.3333333333334,1431.201923076923
